date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:18:28	1292225/1292225	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2022:18:27%20GMT	https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@c/@p/sp.load.critical.js	C:/Users/Hugo/Desktop/limones/Amaz/www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@c/@p/sp.load.critical.html	(from https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@c/@p/)
00:18:29	1290852/1290852	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2022:18:27%20GMT	https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@c/@p/POST	C:/Users/Hugo/Desktop/limones/Amaz/www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@c/@p/POST.html	(from https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@c/@p/)
00:18:36	1290787/1290787	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2022:18:29%20GMT	https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@c/@p/GET	C:/Users/Hugo/Desktop/limones/Amaz/www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@c/@p/GET.html	(from https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@c/@p/)
00:19:03	1290875/1290875	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2022:18:36%20GMT	https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@c/sp.load.js	C:/Users/Hugo/Desktop/limones/Amaz/www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@c/sp.load.html	(from https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@c/)
00:19:04	1290547/1290547	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2022:18:36%20GMT	https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@c/@c/	C:/Users/Hugo/Desktop/limones/Amaz/www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@c/@c/index.html	(from https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@c/)
00:19:04	1292192/1292192	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2022:18:36%20GMT	https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@c/@p/	C:/Users/Hugo/Desktop/limones/Amaz/www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@c/@p/index.html	(from https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@c/)
00:19:04	1290938/1290938	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2022:18:37%20GMT	https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@c/sp.load.critical.js	C:/Users/Hugo/Desktop/limones/Amaz/www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@c/sp.load.critical.html	(from https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@c/)
00:19:05	1290822/1290822	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2022:19:04%20GMT	https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@c/POST	C:/Users/Hugo/Desktop/limones/Amaz/www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@c/POST.html	(from https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@c/)
00:19:27	1290855/1290855	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2022:19:06%20GMT	https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@c/GET	C:/Users/Hugo/Desktop/limones/Amaz/www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@c/GET.html	(from https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@c/)
00:19:28	1290816/1290816	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2022:19:06%20GMT	https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@p/@c/	C:/Users/Hugo/Desktop/limones/Amaz/www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@p/@c/index.html	(from https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@p/)
00:19:28	1290843/1290843	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2022:19:06%20GMT	https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@p/@p/	C:/Users/Hugo/Desktop/limones/Amaz/www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@p/@p/index.html	(from https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@p/)
00:19:28	1292199/1292199	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2022:19:06%20GMT	https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@p/sp.load.js	C:/Users/Hugo/Desktop/limones/Amaz/www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@p/sp.load.html	(from https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@p/)
00:19:28	7010/7010	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2022:19:28%20GMT	https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@p/sp.load.critical.js	C:/Users/Hugo/Desktop/limones/Amaz/www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@p/sp.load.critical.html	(from https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@p/)
00:19:28	6995/6995	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2022:19:29%20GMT	https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@p/POST	C:/Users/Hugo/Desktop/limones/Amaz/www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@p/POST.html	(from https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/@p/@p/)
